"","pID","age","mass","height","hand","velo_max","velo_min","throw","velo","elb_var","shldr_ir","elb_var_max","shldr_ir_max","elb_var_min","shldr_ir_min"
"183","p05",24,197,72,"L",73.6,32.6,35,68.6,53.270871,56.245587,62.780408,62.785688,12.24502,17.16439
"184","p05",24,197,72,"L",73.6,32.6,36,69.7,55.338324,58.889275,62.780408,62.785688,12.24502,17.16439
"185","p05",24,197,72,"L",73.6,32.6,37,71.3,58.233763,60.028318,62.780408,62.785688,12.24502,17.16439
"186","p05",24,197,72,"L",73.6,32.6,38,71.8,58.790379,62.292005,62.780408,62.785688,12.24502,17.16439
"187","p05",24,197,72,"L",73.6,32.6,39,73.1,60.905845,61.905865,62.780408,62.785688,12.24502,17.16439
"188","p05",24,197,72,"L",73.6,32.6,40,72.4,60.231331,61.112306,62.780408,62.785688,12.24502,17.16439
"189","p05",24,197,72,"L",73.6,32.6,41,72.8,59.298055,60.910186,62.780408,62.785688,12.24502,17.16439
"190","p05",24,197,72,"L",73.6,32.6,42,73.6,62.780408,62.785688,62.780408,62.785688,12.24502,17.16439
"191","p06",24,210.2,74,"R",72.4,38.8,1,38.8,15.664029,22.214877,53.636634,74.421421,15.664029,21.794453
"192","p06",24,210.2,74,"R",72.4,38.8,2,38.9,16.802527,21.794453,53.636634,74.421421,15.664029,21.794453
"193","p06",24,210.2,74,"R",72.4,38.8,3,41.6,18.27405,23.412866,53.636634,74.421421,15.664029,21.794453
"194","p06",24,210.2,74,"R",72.4,38.8,4,41.9,22.183751,24.736071,53.636634,74.421421,15.664029,21.794453
"195","p06",24,210.2,74,"R",72.4,38.8,5,42.9,18.382012,26.223095,53.636634,74.421421,15.664029,21.794453
"196","p06",24,210.2,74,"R",72.4,38.8,6,44.6,20.553742,29.108267,53.636634,74.421421,15.664029,21.794453
"197","p06",24,210.2,74,"R",72.4,38.8,7,45.1,24.750646,28.77965,53.636634,74.421421,15.664029,21.794453
"198","p06",24,210.2,74,"R",72.4,38.8,8,45.5,20.023268,27.795129,53.636634,74.421421,15.664029,21.794453
"199","p06",24,210.2,74,"R",72.4,38.8,9,46.6,21.176133,30.380926,53.636634,74.421421,15.664029,21.794453
"200","p06",24,210.2,74,"R",72.4,38.8,10,47.5,21.875883,29.943999,53.636634,74.421421,15.664029,21.794453
"201","p06",24,210.2,74,"R",72.4,38.8,11,49.9,25.176685,33.855322,53.636634,74.421421,15.664029,21.794453
"202","p06",24,210.2,74,"R",72.4,38.8,12,50,24.753649,34.304216,53.636634,74.421421,15.664029,21.794453
"203","p06",24,210.2,74,"R",72.4,38.8,13,51.6,26.242278,38.871792,53.636634,74.421421,15.664029,21.794453
"204","p06",24,210.2,74,"R",72.4,38.8,14,54.5,28.477583,44.684582,53.636634,74.421421,15.664029,21.794453
"205","p06",24,210.2,74,"R",72.4,38.8,15,52.9,30.519665,39.872215,53.636634,74.421421,15.664029,21.794453
"206","p06",24,210.2,74,"R",72.4,38.8,16,53.6,29.123737,42.283856,53.636634,74.421421,15.664029,21.794453
"207","p06",24,210.2,74,"R",72.4,38.8,17,53.8,28.821292,42.008561,53.636634,74.421421,15.664029,21.794453
"208","p06",24,210.2,74,"R",72.4,38.8,18,55.6,30.99507,44.11852,53.636634,74.421421,15.664029,21.794453
"209","p06",24,210.2,74,"R",72.4,38.8,19,57.3,32.375073,47.436877,53.636634,74.421421,15.664029,21.794453
