kww	// User ID
16-2-2021	// Evaluation date
kevin-pilot_16_77.1	16-2-2021	11:43:36:803	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.790705	// height
85.991959	// mass


Sample #	elbVar	shldrIR	RwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	LwristLinVelo	
171	-3.439789	-2.704233	0.190148	1.620196	-2.119659	-1.620196	-0.035779	6.249550	-0.652029	-6.249550	2.774730	0.515430	
172	-2.937911	-2.298803	0.153153	3.857601	-1.374794	-3.857601	-0.604232	6.008206	-0.541772	-6.008206	2.302199	0.505502	
173	-2.373883	-1.878793	0.134155	5.130757	-0.775503	-5.130757	-0.722489	5.167848	-0.566705	-5.167848	1.903992	0.502330	
174	-2.670318	-2.149459	0.130380	5.530074	-0.996649	-5.530074	-0.287125	5.308009	-0.953768	-5.308009	2.303094	0.506837	
175	-2.975061	-2.357111	0.135671	5.493607	-1.398232	-5.493607	-0.073179	4.600820	-1.084754	-4.600820	2.622642	0.517508	
176	-2.294645	-1.734857	0.140282	5.343816	-1.269253	-5.343816	-0.244941	1.636087	-0.586661	-1.636087	1.963658	0.527227	
177	-1.470122	-1.025910	0.134593	5.918951	-0.909422	-5.918951	-0.238669	-0.593847	-0.055094	0.593847	1.139036	0.527951	
178	-1.490292	-1.018155	0.120284	7.735792	-0.840220	-7.735792	-0.040302	-0.128146	-0.011422	0.128146	1.219915	0.516814	
179	-2.007085	-1.439232	0.104596	9.609151	-1.029089	-9.609151	-0.014503	0.846135	-0.368316	-0.846135	2.039648	0.495605	
180	-2.494771	-1.900519	0.094205	9.489825	-1.287267	-9.489825	0.062212	1.033535	-0.928931	-1.033535	3.096627	0.466660	
181	-2.805818	-2.219958	0.095438	6.333190	-1.495920	-6.333190	0.359941	0.413109	-1.311982	-0.413109	3.911730	0.431392	
182	-2.680059	-2.126465	0.109629	1.225889	-1.422867	-1.225889	0.447318	-1.397281	-1.183562	1.397281	3.797618	0.391153	
183	-2.390518	-1.918939	0.130890	-3.252948	-1.261033	3.252948	0.211538	-2.512170	-1.056615	2.512170	3.444976	0.348809	
184	-2.900295	-2.415190	0.145906	-5.577306	-1.761745	5.577306	-0.136125	-1.729043	-1.610710	1.729043	4.575960	0.309572	
185	-4.107055	-3.419884	0.149016	-6.338296	-2.880599	6.338296	-0.773217	-0.896019	-2.464449	0.896019	6.554774	0.277584	
186	-4.450821	-3.622468	0.155578	-6.346864	-3.426125	6.346864	-1.676007	-0.375543	-2.652433	0.375543	6.600223	0.253345	
187	-3.356472	-2.671757	0.179143	-5.907031	-2.932130	5.907031	-2.276222	0.310428	-1.957351	-0.310428	4.328424	0.236072	
188	-2.340838	-1.902414	0.214297	-5.396702	-2.463617	5.396702	-2.088582	1.185779	-1.526121	-1.185779	2.795277	0.224245	
