kww	// User ID
12-2-2021	// Evaluation date
nate-pilot_21_62.7	12-2-2021	09:41:38:906	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.632822	// height
82.450500	// mass


Sample #	elbVar	shldrIR	handAngVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	
183	-2.180058	-2.145929	106.033841	-0.291437	-0.829165	0.291437	9.549351	-2.739693	-2.025408	2.739693	1.055624	
184	-2.328824	-2.241471	110.916752	-1.745158	-0.740069	1.745158	10.643604	-3.440022	-2.302709	3.440022	1.028831	
185	-2.276949	-2.083086	115.004615	-2.497984	-0.725442	2.497984	10.984864	-3.993444	-2.329968	3.993444	1.037988	
186	-1.938148	-1.639682	117.337908	-1.494050	-0.830697	1.494050	10.343639	-4.048182	-1.982062	4.048182	0.976195	
187	-1.437083	-1.051606	117.550565	-0.890435	-0.913430	0.890435	8.984379	-3.840295	-1.506014	3.840295	0.934395	
188	-1.157715	-0.680554	116.055263	-2.013227	-0.839023	2.013227	7.480690	-3.700598	-1.379902	3.700598	1.065335	
189	-1.336399	-0.758761	113.520558	-2.929552	-0.667492	2.929552	6.314413	-3.735017	-1.699893	3.735017	1.380869	
190	-1.817971	-1.153949	110.362036	-2.890952	-0.532085	2.890952	5.719497	-3.923079	-2.157641	3.923079	1.781150	
191	-2.398663	-1.655156	106.797150	-2.615320	-0.446372	2.615320	5.542889	-4.058698	-2.594051	4.058698	2.268127	
192	-3.034167	-2.177685	103.069507	-2.509858	-0.395793	2.509858	5.589850	-4.125331	-3.067796	4.125331	2.961209	
193	-3.656611	-2.650480	99.614109	-2.724049	-0.433869	2.724049	5.870873	-4.255329	-3.519489	4.255329	3.850752	
194	-4.093567	-2.952322	97.157704	-2.957235	-0.561403	2.957235	6.262164	-4.266785	-3.742639	4.266785	4.719353	
195	-4.176611	-2.968964	96.562469	-2.755059	-0.676228	2.755059	6.512850	-3.960702	-3.612707	3.960702	5.308127	
196	-3.852075	-2.673839	98.353466	-2.132573	-0.718303	2.132573	6.544228	-3.437774	-3.165970	3.437774	5.434596	
197	-3.248004	-2.184861	102.271446	-1.140328	-0.761339	1.140328	6.458978	-2.833997	-2.550080	2.833997	5.085121	
198	-2.618724	-1.720241	107.355739	0.419620	-0.909941	-0.419620	6.430115	-2.242179	-1.927005	2.242179	4.444212	
199	-2.171425	-1.476102	112.526094	2.116962	-1.130260	-2.116962	6.517477	-1.955729	-1.348307	1.955729	3.692652	
200	-1.945668	-1.502242	116.991431	2.806612	-1.268918	-2.806612	6.574460	-2.295329	-0.780536	2.295329	2.889544	
201	-1.870030	-1.687563	120.222802	2.280986	-1.259688	-2.280986	6.483153	-3.094525	-0.269108	3.094525	2.158314	
