kww	// User ID
5-7-2021	// Evaluation date
p12_warmup_011_531	5-7-2021	11:09:44:203	// Source file name and timestamp
238.095	// Sampling rate
0.842	// Data capture period

1.750000	// height
83.200000	// mass


Sample #	var_mom	ir_mom	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	LwristLinVelo	shldrER	shldrIR	
144	17.017723	14.213271	488.858300	234.786935	-488.858300	104.461335	365.433175	-220.442030	-365.433175	-420.828467	0.496485	13.302305	72.972874	-78.204484	
145	16.194329	14.715502	391.595329	210.929504	-391.595329	255.911832	518.168038	-265.293369	-518.168038	-365.766568	0.526937	12.703275	64.060774	-87.675060	
146	16.266213	14.455498	245.511669	148.647679	-245.511669	529.023603	564.913241	-317.492690	-564.913241	-278.934312	0.564388	11.999251	53.827043	-97.730565	
147	17.134907	11.844923	79.213206	40.256509	-79.213206	886.515296	475.717954	-355.826839	-475.717954	-146.718444	0.608261	11.386101	42.236091	-108.230708	
148	18.355592	5.628345	38.629716	-106.872544	-38.629716	1246.952142	292.181883	-362.279235	-292.181883	57.925871	0.656853	11.136859	29.443076	-118.969224	
149	18.559943	-3.351754	304.674211	-245.379278	-304.674211	1487.090629	172.583998	-325.401623	-172.583998	276.667950	0.707919	11.363311	15.903296	-129.538237	
150	15.735878	-11.781177	853.458828	-306.316148	-853.458828	1485.557773	280.264027	-234.939273	-280.264027	334.966262	0.758623	11.803716	2.350412	-139.336955	
151	9.769044	-17.000261	1459.030162	-273.396624	-1459.030162	1248.200460	571.365583	-100.544624	-571.365583	179.996357	0.805731	12.061070	-10.404895	-147.776621	
152	2.765630	-19.155777	1924.663711	-191.210163	-1924.663711	900.912302	859.853180	42.141102	-859.853180	-47.712885	0.846574	11.957160	-21.709091	-154.487694	
153	-3.183283	-19.690666	2158.204902	-107.596558	-2158.204902	565.981057	1027.308351	151.947062	-1027.308351	-210.961270	0.879756	11.554490	-31.173111	-159.353032	
154	-7.070349	-19.633757	2139.476200	-43.858592	-2139.476200	308.304304	1067.562788	204.557081	-1067.562788	-268.593786	0.904803	11.003458	-38.645459	-162.412998	
155	-8.702253	-19.326838	1904.755266	-1.238102	-1904.755266	149.136979	1024.349975	198.983232	-1024.349975	-241.060038	0.921475	10.434211	-44.127681	-163.759856	
156	-8.265650	-18.773771	1539.944922	25.485161	-1539.944922	91.453288	940.790372	150.098630	-940.790372	-166.211352	0.929530	9.924649	-47.696838	-163.473806	
157	-6.130422	-17.933349	1157.927140	40.219697	-1157.927140	137.560909	841.299061	77.725530	-841.299061	-77.192059	0.929504	9.509539	-49.458930	-161.600972	
158	-2.893984	-16.807593	859.470244	44.038390	-859.470244	286.548119	735.580044	-0.314232	-735.580044	4.940683	0.923776	9.200533	-49.530019	-158.160287	
159	0.537336	-15.365970	710.917625	36.437800	-710.917625	506.157424	637.581364	-69.614007	-637.581364	70.814710	0.916110	8.997744	-48.046040	-153.168364	
